Input (Doctor),Target (Relative),Progression
"She's been wanting to see you.", "I've been wanting to see her too.", N
"She loves you very much.", "I love her too, more than anything.", N
"Just seeing you might help her recovery.", "I hope so.", N
"Your wife is a fighter.", "But she's so pale and weak...", I
"She's been through a lot, but she's hanging in there.", "When will she wake up?", I
"We can't say for sure. It could be days, or even weeks.", "I just want to hear her voice again.", I
"We're doing everything we can to help her recover.", "She has to wake up. We have so much planned...", I
"I understand this is difficult.", "We were supposed to go on that cruise next month... retire early...", I
"Focus on being there for her now.", "I am... I just... I miss her so much.", I
"The test results are back.", "And?", I
"There's some damage, but it's not as bad as we initially feared.", "So she'll be okay?", D
"It's too early to say for sure, but this is a positive development.", "I'm so relieved to hear that.", D
"She's a strong woman.", "She is. She's the strongest person I know.", N
"She's responding well to the treatment.", "That's wonderful news!", D
"She's still weak, but she's showing signs of improvement.", "I knew she could do it.", D
"Her vitals are stable.", "Thank goodness.", D
"She's still unconscious, but she's fighting.", "I know she is.", N
"I'll never give up hope.", "And neither will we.", N
"We're going to try a new medication.", "Will it help her wake up?", I
"It could potentially speed up the recovery process.", "I'm willing to try anything.", N
"We'll monitor her closely for any side effects.", "I just want her to get better.", I
"We all do.", "If only I spent more time with her..", N
"She opened her eyes today!", "Really? Oh my god!", D
"It was just for a moment, but it's a good sign.", "I can't believe it...", D
"She's still very weak, but this is a step in the right direction.", "I'm so happy...", D
"She has a long road ahead, but we're hopeful.", "I'll be by her side every step of the way.", N
"We're doing everything we can right now. Your mother is a fighter.", "Will she be okay? Is she going to make it?", I
"We've stabilized her for now, and that's a positive sign.", "But what happened? She was fine yesterday!", I
"It appears to be a complication from her previous condition. We're still running tests.", "I don't understand... how could this happen?", I
"I know this is difficult, but try to stay calm. It's important for you to be strong for her.", "Calm? How can I be calm when my mother is lying there?", I
"We have a top team working on her case. We'll keep you updated every step of the way.","Will I be able to see her soon?", D
"Your son is a strong young man. He's responding well to the treatment.", "He's just a child. He shouldn't have to go through this.", I
"We're doing everything in our power to ensure he recovers quickly.","I just want him to be okay. This is all my fault.", I
"This is not your fault. Don't blame yourself.","How can I not? I should have taken better care of him.", I
"You're a loving father. Right now, your son needs your strength and support.","I... I don't know if I can be strong right now.", N
"We're here for you both. We'll get through this together.", "Thank you, doctor. I... I appreciate that.", D
"Your husband is showing signs of improvement. His vitals are stabilizing.", "Oh, thank goodness! When can I see him?", D
"He's still in the ICU, but you'll be able to see him soon.", "Can you tell him I'm here? That I love him?", D
"Absolutely. He needs to know you're by his side.", "He's all I have. I don't know what I'd do if I lost him.", N
"He's a fighter, and he has you. That's a powerful combination.","I just want him to wake up.", N
"We all do. We're doing our best, and we'll keep you informed of any changes.", "Thank you, doctor. For everything.", D
"We need to discuss your wife's test results.", "Is everything okay? It's not the cancer, is it?", I
"The tests are inconclusive, but there are some areas of concern.", "What does that mean? What are you saying?", I
"We need to run more tests to get a clearer picture.", "But how long will that take? I can't stand this waiting.", I
"I understand this is difficult, but we need to be thorough.", "Just tell me the truth, doctor. Is it bad?", I
"We don't have all the answers yet. We're doing our best.", "I just... I don't know what I'll do if...", I
"The surgery was successful. We were able to remove the tumor.", "Oh, thank God! So she's going to be alright?", D
"She's still in recovery, but the initial signs are positive.","Can I see her? When can I see her?", D
"She's still a bit groggy from the anesthesia, but you can see her soon.", "I was so worried... I can't wait to tell her it's all okay.", D
"She's a very lucky woman. You were here for her throughout all of this.", "I'll always be here for her.", D
"There's been a slight complication with your daughter's recovery.", "What kind of complication? What's wrong?", I
"There's been some internal bleeding, but we're addressing it.", "Is she going to be okay? Is she in pain?", I
"We're giving her medication to manage the pain and stop the bleeding.","I want to see her. Please, let me see my daughter.", I
"You can see her soon, but we need to stabilize her first.", "This is all my fault... I shouldn't have let her...", I
